Symbol,Name,Sector,industry,Exchange
CRTX,"Cortexyme, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
CRUS,"Cirrus Logic, Inc.",Technology,Semiconductors,NASDAQ
CRVL,CorVel Corp.,Finance,Specialty Insurers,NASDAQ
CRVS,"Corvus Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
CRWS,"Crown Crafts, Inc.",Basic Industries,Textiles,NASDAQ
CRY,"CryoLife, Inc.",Health Care,Medical/Dental Instruments,NYSE
CRZO,"Carrizo Oil & Gas, Inc.",Energy,Oil & Gas Production,NASDAQ
CS,Credit Suisse Group,Finance,Investment Bankers/Brokers/Service,NYSE
CSBR,"Champions Oncology, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
CSCO,"Cisco Systems, Inc.",Technology,Computer Communications Equipment,NASDAQ
CSFL,CenterState Bank Corporation,Finance,Major Banks,NASDAQ
CSGP,"CoStar Group, Inc.",Miscellaneous,Business Services,NASDAQ
CSGS,"CSG Systems International, Inc.",Technology,EDP Services,NASDAQ
CSII,"Cardiovascular Systems, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
CSIQ,Canadian Solar Inc.,Technology,Semiconductors,NASDAQ
CSL,Carlisle Companies Incorporated,Basic Industries,Specialty Chemicals,NYSE
CSLT,"Castlight Health, inc.",Technology,EDP Services,NYSE
CSOD,"Cornerstone OnDemand, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
CSPI,CSP Inc.,Technology,EDP Services,NASDAQ
CSS,"CSS Industries, Inc.",Consumer Services,Consumer: Greeting Cards,NYSE
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",Consumer Services,Movies/Entertainment,NASDAQ
CSSEP,"Chicken Soup for the Soul Entertainment, Inc.",Consumer Services,Movies/Entertainment,NASDAQ
CSTE,Caesarstone Ltd.,Capital Goods,Building Materials,NASDAQ
CSTM,Constellium N.V.,Basic Industries,Metal Fabrications,NYSE
CSTR,"CapStar Financial Holdings, Inc.",Finance,Major Banks,NASDAQ
CSU,Capital Senior Living Corporation,Health Care,Hospital/Nursing Management,NYSE
CSV,"Carriage Services, Inc.",Consumer Services,Other Consumer Services,NYSE
CSWC,Capital Southwest Corporation,Consumer Non-Durables,Textiles,NASDAQ
CSWCL,Capital Southwest Corporation,Consumer Non-Durables,Textiles,NASDAQ
CSWI,"CSW Industrials, Inc.",Basic Industries,Home Furnishings,NASDAQ
CSX,CSX Corporation,Transportation,Railroads,NASDAQ
CTAA,Qwest Corporation,Public Utilities,Telecommunications Equipment,NYSE
CTAC,ChaSerg Technology Acquisition Corp.,Finance,Business Services,NASDAQ
CTACU,ChaSerg Technology Acquisition Corp.,Finance,Business Services,NASDAQ
CTACW,ChaSerg Technology Acquisition Corp.,Finance,Business Services,NASDAQ
CTAS,Cintas Corporation,Consumer Non-Durables,Apparel,NASDAQ
CTB,Cooper Tire & Rubber Company,Consumer Durables,Automotive Aftermarket,NYSE
CTBB,Qwest Corporation,Public Utilities,Telecommunications Equipment,NYSE
CTBI,"Community Trust Bancorp, Inc.",Finance,Major Banks,NASDAQ
CTDD,Qwest Corporation,Public Utilities,Telecommunications Equipment,NYSE
CTEK,"CynergisTek, Inc.",Miscellaneous,Business Services,AMEX
CTG,"Computer Task Group, Incorporated",Technology,EDP Services,NASDAQ
CTHR,Charles & Colvard Ltd.,Consumer Durables,Consumer Specialties,NASDAQ
CTIB,CTI Industries Corporation,Basic Industries,Specialty Chemicals,NASDAQ
CTIC,CTI BioPharma Corp.,Health Care,Major Pharmaceuticals,NASDAQ
CTK,CooTek (Cayman) Inc.,Technology,EDP Services,NYSE
CTL,"CenturyLink, Inc.",Public Utilities,Telecommunications Equipment,NYSE
CTLT,"Catalent, Inc.",Health Care,Major Pharmaceuticals,NYSE
CTMX,"CytomX Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
CTO,Consolidated-Tomoka Land Co.,Finance,Real Estate,AMEX
CTRA,"Contura Energy, Inc.",Energy,Coal Mining,NYSE
CTRC,Centric Brands Inc.,Consumer Non-Durables,Apparel,NASDAQ
CTRE,"CareTrust REIT, Inc.",Consumer Services,Real Estate Investment Trusts,NASDAQ
CTRL,Control4 Corporation,Capital Goods,Electrical Products,NASDAQ
CTRM,Castor Maritime Inc.,Transportation,Marine Transportation,NASDAQ
CTRN,"Citi Trends, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,NASDAQ
CTRP,"Ctrip.com International, Ltd.",Miscellaneous,Business Services,NASDAQ
CTRV,ContraVir Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,NASDAQ
CTS,CTS Corporation,Technology,Electrical Products,NYSE
CTSH,Cognizant Technology Solutions Corporation,Technology,EDP Services,NASDAQ
CTSO,Cytosorbents Corporation,Health Care,Medical/Dental Instruments,NASDAQ
CTST,CannTrust Holdings Inc.,Consumer Durables,Specialty Chemicals,NYSE
CTT           ,"CatchMark Timber Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
CTV,Qwest Corporation,Public Utilities,Telecommunications Equipment,NYSE
CTVA,"Corteva, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,NYSE
CTWS,"Connecticut Water Service, Inc.",Public Utilities,Water Supply,NASDAQ
CTXR,"Citius Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
CTXRW,"Citius Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
CTXS,"Citrix Systems, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
CTY,Qwest Corporation,Public Utilities,Telecommunications Equipment,NYSE
CTZ,Qwest Corporation,Public Utilities,Telecommunications Equipment,NYSE
CUB,Cubic Corporation,Capital Goods,Industrial Machinery/Components,NYSE
CUBE,CubeSmart,Consumer Services,Real Estate Investment Trusts,NYSE
CUBI,"Customers Bancorp, Inc",Finance,Major Banks,NYSE
CUE,"Cue Biopharma, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
CUI,"CUI Global, Inc.",Technology,Electronic Components,NASDAQ
CUK,Carnival Corporation,Consumer Services,Marine Transportation,NYSE
CULP,"Culp, Inc.",Basic Industries,Textiles,NYSE
CUO,Continental Materials Corporation,Capital Goods,Building Materials,AMEX
CUR,"Neuralstem, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
CURO,CURO Group Holdings Corp.,Finance,Finance: Consumer Services,NYSE
CUTR,"Cutera, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
CUZ,Cousins Properties Incorporated,Consumer Services,Real Estate Investment Trusts,NYSE
CVA,Covanta Holding Corporation,Basic Industries,Electric Utilities: Central,NYSE
CVBF,CVB Financial Corporation,Finance,Major Banks,NASDAQ
CVCO,"Cavco Industries, Inc.",Basic Industries,Homebuilding,NASDAQ
CVCY,Central Valley Community Bancorp,Finance,Major Banks,NASDAQ
CVE,Cenovus Energy Inc,Energy,Oil & Gas Production,NYSE
CVEO,Civeo Corporation,Consumer Services,Hotels/Resorts,NYSE
CVET,"Covetrus, Inc.",Health Care,Medical/Nursing Services,NASDAQ
CVGI,"Commercial Vehicle Group, Inc.",Capital Goods,Auto Parts:O.E.M.,NASDAQ
CVGW,"Calavo Growers, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,NASDAQ
CVI,CVR Energy Inc.,Energy,Integrated oil Companies,NYSE
CVIA,Covia Holdings Corporation,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE
CVLT,"Commvault Systems, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
CVLY,"Codorus Valley Bancorp, Inc",Finance,Savings Institutions,NASDAQ
CVM,Cel-Sci Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
CVNA,Carvana Co.,Consumer Durables,Automotive Aftermarket,NYSE
CVR,Chicago Rivet & Machine Co.,Technology,Industrial Machinery/Components,AMEX
CVRS,"Corindus Vascular Robotics, Inc.",Health Care,Medical/Dental Instruments,AMEX
CVS,CVS Health Corporation,Health Care,Medical/Nursing Services,NYSE
CVTI,"Covenant Transportation Group, Inc.",Transportation,Trucking Freight/Courier Services,NASDAQ
CVU,"CPI Aerostructures, Inc.",Capital Goods,Military/Government/Technical,AMEX
CVV,CVD Equipment Corporation,Technology,Industrial Machinery/Components,NASDAQ
CVX,Chevron Corporation,Energy,Integrated oil Companies,NYSE
CW,Curtiss-Wright Corporation,Technology,Industrial Machinery/Components,NYSE
CWBC,Community West Bancshares,Finance,Major Banks,NASDAQ
CWBR,"CohBar, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
CWCO,Consolidated Water Co. Ltd.,Public Utilities,Water Supply,NASDAQ
CWEN,"Clearway Energy, Inc.",Public Utilities,Electric Utilities: Central,NYSE
CWH,"Camping World Holdings, Inc.",Consumer Durables,Automotive Aftermarket,NYSE
CWK,Cushman & Wakefield plc,Finance,Real Estate,NYSE
CWST,"Casella Waste Systems, Inc.",Public Utilities,Environmental Services,NASDAQ
CWT,California Water  Service Group Holding,Public Utilities,Water Supply,NYSE
CX,Cemex S.A.B. de C.V.,Capital Goods,Building Materials,NYSE
CXDC,China XD Plastics Company Limited,Capital Goods,Containers/Packaging,NASDAQ
CXO,Concho Resources Inc.,Energy,Oil & Gas Production,NYSE
CXP,"Columbia Property Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
CXW,"CoreCivic, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
CY,Cypress Semiconductor Corporation,Technology,Semiconductors,NASDAQ
CYAD,Celyad SA,Health Care,Major Pharmaceuticals,NASDAQ
CYAN,Cyanotech Corporation,Consumer Durables,Specialty Chemicals,NASDAQ
CYBE,CyberOptics Corporation,Capital Goods,Electronic Components,NASDAQ
CYBR,CyberArk Software Ltd.,Technology,Computer Software: Prepackaged Software,NASDAQ
CYCC,"Cyclacel Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
CYCCP,"Cyclacel Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
CYCN,"Cyclerion Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
CYD,China Yuchai International Limited,Energy,Industrial Machinery/Components,NYSE
CYH,"Community Health Systems, Inc.",Health Care,Hospital/Nursing Management,NYSE
CYOU,Changyou.com Limited,Technology,Computer Software: Prepackaged Software,NASDAQ
CYRN,CYREN Ltd.,Technology,Computer Software: Prepackaged Software,NASDAQ
CYRX,"CryoPort, Inc.",Transportation,Oil Refining/Marketing,NASDAQ
CYRXW,"CryoPort, Inc.",Transportation,Oil Refining/Marketing,NASDAQ
CYTK,"Cytokinetics, Incorporated",Health Care,Major Pharmaceuticals,NASDAQ
CYTX,Cytori Therapeutics Inc.,Health Care,Medical/Dental Instruments,NASDAQ
CYTXZ,Cytori Therapeutics Inc.,Health Care,Medical/Dental Instruments,NASDAQ
CZFC,Citizens First Corporation,Finance,Major Banks,NASDAQ
CZNC,Citizens & Northern Corp,Finance,Major Banks,NASDAQ
CZR,Caesars Entertainment Corporation,Consumer Services,Hotels/Resorts,NASDAQ
CZWI,"Citizens Community Bancorp, Inc.",Finance,Savings Institutions,NASDAQ
CZZ,Cosan Limited,Consumer Non-Durables,Specialty Foods,NYSE
D,"Dominion Energy, Inc.",Public Utilities,Electric Utilities: Central,NYSE
DAC,Danaos Corporation,Transportation,Marine Transportation,NYSE
DAIO,Data I/O Corporation,Capital Goods,Electrical Products,NASDAQ
DAKT,"Daktronics, Inc.",Consumer Durables,Miscellaneous manufacturing industries,NASDAQ
DAL,"Delta Air Lines, Inc.",Transportation,Air Freight/Delivery Services,NYSE
DAN,Dana Incorporated,Capital Goods,Auto Parts:O.E.M.,NYSE
DAR,Darling Ingredients Inc.,Consumer Non-Durables,Packaged Foods,NYSE
DARE,"Dare Bioscience, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
DATA,"Tableau Software, Inc.",Technology,Computer Software: Prepackaged Software,NYSE
DAVA,Endava plc,Technology,EDP Services,NYSE
DAVE,"Famous Dave&#39;s of America, Inc.",Consumer Services,Restaurants,NASDAQ
DB,Deutsche Bank AG,Finance,Major Banks,NYSE
DBD,Diebold Nixdorf Incorporated,Miscellaneous,Office Equipment/Supplies/Services,NYSE
DBI,Designer Brands Inc.,Consumer Services,Clothing/Shoe/Accessory Stores,NYSE
DBVT,DBV Technologies S.A.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
DBX,"Dropbox, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
DCAR,"DropCar, Inc.",Consumer Services,Telecommunications Equipment,NASDAQ
DCI,"Donaldson Company, Inc.",Capital Goods,Pollution Control Equipment,NYSE
DCIX,Performance Shipping Inc.,Transportation,Marine Transportation,NASDAQ
DCO,Ducommun Incorporated,Capital Goods,Military/Government/Technical,NYSE
DCOM,"Dime Community Bancshares, Inc.",Finance,Savings Institutions,NASDAQ
DCP,DCP Midstream LP,Public Utilities,Natural Gas Distribution,NYSE
DCPH,"Deciphera Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
DCUD,"Dominion Energy, Inc.",Public Utilities,Electric Utilities: Central,NYSE
DD,"DuPont de Nemours, Inc.",Basic Industries,Major Chemicals,NYSE
DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software,NYSE
DDMX,DD3 Acquisition Corp.,Finance,Business Services,NASDAQ
DDMXU,DD3 Acquisition Corp.,Finance,Business Services,NASDAQ
DDMXW,DD3 Acquisition Corp.,Finance,Business Services,NASDAQ
DDS,"Dillard&#39;s, Inc.",Consumer Services,Department/Specialty Retail Stores,NYSE
DDT,"Dillard&#39;s, Inc.",Consumer Services,Department/Specialty Retail Stores,NYSE
DE,Deere & Company,Capital Goods,Industrial Machinery/Components,NYSE
DEA,"Easterly Government Properties, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
DEACU,Diamond Eagle Acquisition Corp.,Finance,Business Services,NASDAQ
DECK,Deckers Outdoor Corporation,Consumer Non-Durables,Shoe Manufacturing,NYSE
DEI,"Douglas Emmett, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
DELL,Dell Technologies Inc.,Technology,Computer Manufacturing,NYSE
DENN,Denny&#39;s Corporation,Consumer Services,Restaurants,NASDAQ
DEO,Diageo plc,Consumer Non-Durables,Beverages (Production/Distribution),NYSE
DERM,"Dermira, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
DESP,"Despegar.com, Corp.",Consumer Services,Transportation Services,NYSE
DEST,Destination Maternity Corporation,Consumer Services,Clothing/Shoe/Accessory Stores,NASDAQ
DF,Dean Foods Company,Consumer Non-Durables,Packaged Foods,NYSE
DFBH,DFB Healthcare Acquisitions Corp.,Finance,Business Services,NASDAQ
DFBHU,DFB Healthcare Acquisitions Corp.,Finance,Business Services,NASDAQ
DFBHW,DFB Healthcare Acquisitions Corp.,Finance,Business Services,NASDAQ
DFFN,Diffusion Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,NASDAQ
DFIN,"Donnelley Financial Solutions, Inc.",Consumer Services,Other Consumer Services,NYSE
DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",Consumer Services,Restaurants,NASDAQ
DFS,Discover Financial Services,Finance,Finance: Consumer Services,NYSE
DG,Dollar General Corporation,Consumer Services,Department/Specialty Retail Stores,NYSE
DGICA,"Donegal Group, Inc.",Finance,Property-Casualty Insurers,NASDAQ
DGICB,"Donegal Group, Inc.",Finance,Property-Casualty Insurers,NASDAQ
DGII,Digi International Inc.,Technology,Computer Communications Equipment,NASDAQ
DGLD,Credit Suisse AG,Finance,Investment Bankers/Brokers/Service,NASDAQ
DGLY,"Digital Ally, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
DGSE,"DGSE Companies, Inc.",Consumer Services,Consumer Specialties,AMEX
DGX,Quest Diagnostics Incorporated,Health Care,Medical Specialities,NYSE
DHI,"D.R. Horton, Inc.",Capital Goods,Homebuilding,NYSE
DHIL,"Diamond Hill Investment Group, Inc.",Finance,Investment Managers,NASDAQ
DHR,Danaher Corporation,Capital Goods,Industrial Machinery/Components,NYSE
DHT,"DHT Holdings, Inc.",Transportation,Marine Transportation,NYSE
DHX,"DHI Group, Inc.",Miscellaneous,Business Services,NYSE
DIN,"Dine Brands Global, Inc.",Consumer Services,Restaurants,NYSE
DIOD,Diodes Incorporated,Technology,Semiconductors,NASDAQ
DIS,Walt Disney Company (The),Consumer Services,Services-Misc. Amusement & Recreation,NYSE
DISCA,"Discovery, Inc.",Consumer Services,Television Services,NASDAQ
DISCB,"Discovery, Inc.",Consumer Services,Television Services,NASDAQ
DISCK,"Discovery, Inc.",Consumer Services,Television Services,NASDAQ
DISH,DISH Network Corporation,Consumer Services,Television Services,NASDAQ
DIT,AMCON Distributing Company,Consumer Non-Durables,Food Distributors,AMEX
DJCO,Daily Journal Corp. (S.C.),Consumer Services,Newspapers/Magazines,NASDAQ
DK,"Delek US Holdings, Inc.",Energy,Integrated oil Companies,NYSE
DKL,"Delek Logistics Partners, L.P.",Energy,Natural Gas Distribution,NYSE
DKS,Dick&#39;s Sporting Goods Inc,Consumer Services,Other Specialty Stores,NYSE
DKT,Deutsch Bk Contingent Cap Tr V,Finance,Major Banks,NYSE
DL,China Distance Education Holdings Limited,Consumer Services,Other Consumer Services,NYSE
DLA,"Delta Apparel, Inc.",Consumer Non-Durables,Apparel,AMEX
DLB,Dolby Laboratories,Miscellaneous,Multi-Sector Companies,NYSE
DLHC,DLH Holdings Corp.,Technology,Professional Services,NASDAQ
DLNG,Dynagas LNG Partners LP,Consumer Services,Marine Transportation,NYSE
DLPH,Delphi Technologies PLC,Capital Goods,Auto Parts:O.E.M.,NYSE
DLPN,"Dolphin Entertainment, Inc.",Consumer Services,Other Consumer Services,NASDAQ
DLPNW,"Dolphin Entertainment, Inc.",Consumer Services,Other Consumer Services,NASDAQ
DLR,"Digital Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
DLTH,Duluth Holdings Inc.,Consumer Services,Clothing/Shoe/Accessory Stores,NASDAQ
DLTR,"Dollar Tree, Inc.",Consumer Services,Department/Specialty Retail Stores,NASDAQ
DLX,Deluxe Corporation,Consumer Durables,Publishing,NYSE
DMAC,DiaMedica Therapeutics Inc.,Health Care,Major Pharmaceuticals,NASDAQ
DMLP,"Dorchester Minerals, L.P.",Energy,Oil & Gas Production,NASDAQ
DMPI,"DelMar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
DMRC,Digimarc Corporation,Technology,EDP Services,NASDAQ
DNBF,DNB Financial Corp,Finance,Major Banks,NASDAQ
DNJR,GOLDEN BULL LIMITED,Finance,Finance: Consumer Services,NASDAQ
DNKN,"Dunkin&#39; Brands Group, Inc.",Consumer Services,Restaurants,NASDAQ
DNLI,Denali Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
DNN,Denison Mine Corp,Basic Industries,Precious Metals,AMEX
DNOW,NOW Inc.,Energy,Metal Fabrications,NYSE
DNR,Denbury Resources Inc.,Energy,Oil & Gas Production,NYSE
DO,"Diamond Offshore Drilling, Inc.",Energy,Oil & Gas Production,NYSE
DOC,Physicians Realty Trust,Consumer Services,Real Estate Investment Trusts,NYSE
DOCU,"DocuSign, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
DOGZ,Dogness (International) Corporation,Consumer Durables,Miscellaneous manufacturing industries,NASDAQ
DOMO,"Domo, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
DOOO,BRP Inc.,Capital Goods,Industrial Specialties,NASDAQ
DOOR,Masonite International Corporation,Basic Industries,Forest Products,NYSE
DORM,"Dorman Products, Inc.",Capital Goods,Auto Parts:O.E.M.,NASDAQ
DOV,Dover Corporation,Technology,Industrial Machinery/Components,NYSE
DOVA,"Dova Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
DOW,Dow Inc.,Basic Industries,Major Chemicals,NYSE
DOX,Amdocs Limited,Technology,EDP Services,NASDAQ
DPHC,DiamondPeak Holdings Corp.,Finance,Business Services,NASDAQ
DPHCU,DiamondPeak Holdings Corp.,Finance,Business Services,NASDAQ
DPHCW,DiamondPeak Holdings Corp.,Finance,Business Services,NASDAQ
DPLO,"Diplomat Pharmacy, Inc.",Health Care,Medical/Nursing Services,NYSE
DPW,"DPW Holdings, Inc.",Capital Goods,Industrial Machinery/Components,AMEX
DPZ,Domino&#39;s Pizza Inc,Consumer Non-Durables,Food Distributors,NYSE
DQ,DAQO New Energy Corp.,Technology,Semiconductors,NYSE
DRAD,Digirad Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
DRD,DRDGOLD Limited,Basic Industries,Precious Metals,NYSE
DRE,Duke Realty Corporation,Consumer Services,Real Estate Investment Trusts,NYSE
DRH,Diamondrock Hospitality Company,Consumer Services,Real Estate Investment Trusts,NYSE
DRI,"Darden Restaurants, Inc.",Consumer Services,Restaurants,NYSE
DRIO,DarioHealth Corp.,Health Care,Medical/Dental Instruments,NASDAQ
DRIOW,DarioHealth Corp.,Health Care,Medical/Dental Instruments,NASDAQ
DRNA,"Dicerna Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
DRQ,"Dril-Quip, Inc.",Energy,Metal Fabrications,NYSE
DRRX,DURECT Corporation,Health Care,Major Pharmaceuticals,NASDAQ
DRUA,"Dominion Energy, Inc.",Public Utilities,Electric Utilities: Central,NYSE
DRYS,DryShips Inc.,Transportation,Marine Transportation,NASDAQ
DS,Drive Shack Inc.,Consumer Services,Real Estate Investment Trusts,NYSE
DSGX,The Descartes Systems Group Inc.,Technology,Computer Software: Prepackaged Software,NASDAQ
DSKE,"Daseke, Inc.",Consumer Services,Transportation Services,NASDAQ
DSKEW,"Daseke, Inc.",Consumer Services,Transportation Services,NASDAQ
DSLV,Credit Suisse AG,Finance,Investment Bankers/Brokers/Service,NASDAQ
DSPG,"DSP Group, Inc.",Technology,Semiconductors,NASDAQ
DSS,"Document Security Systems, Inc.",Consumer Durables,Containers/Packaging,AMEX
DSSI,Diamond S Shipping Inc.,Consumer Services,Transportation Services,NYSE
DSWL,"Deswell Industries, Inc.",Consumer Non-Durables,Plastic Products,NASDAQ
DSX,Diana Shipping inc.,Transportation,Marine Transportation,NYSE
DTE,DTE Energy Company,Public Utilities,Electric Utilities: Central,NYSE
DTEA,DAVIDsTEA Inc.,Consumer Non-Durables,Food Chains,NASDAQ
DTIL,"Precision BioSciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
DTJ,DTE Energy Company,Public Utilities,Electric Utilities: Central,NYSE
DTQ,DTE Energy Company,Public Utilities,Electric Utilities: Central,NYSE
DTSS,Datasea Inc.,Technology,Computer Software: Prepackaged Software,NASDAQ
DTV,DTE Energy Company,Public Utilities,Electric Utilities: Central,NYSE
DTW,DTE Energy Company,Public Utilities,Electric Utilities: Central,NYSE
DTY,DTE Energy Company,Public Utilities,Electric Utilities: Central,NYSE
DUK,Duke Energy Corporation,Public Utilities,Power Generation,NYSE
DUK^A,Duke Energy Corporation,Public Utilities,Power Generation,NYSE
DUKB,Duke Energy Corporation,Public Utilities,Power Generation,NYSE
DUKH,Duke Energy Corporation,Public Utilities,Power Generation,NYSE
DVA,DaVita Inc.,Health Care,Hospital/Nursing Management,NYSE
DVAX,Dynavax Technologies Corporation,Health Care,Major Pharmaceuticals,NASDAQ
DVCR,Diversicare Healthcare Services Inc.,Health Care,Hospital/Nursing Management,NASDAQ
DVD,"Dover Motorsports, Inc.",Consumer Services,Services-Misc. Amusement & Recreation,NYSE
DVN,Devon Energy Corporation,Energy,Oil & Gas Production,NYSE
DWSN,Dawson Geophysical Company,Energy,Oil & Gas Production,NASDAQ
DX,"Dynex Capital, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
DXB,Deutsche Bank AG,Finance,Major Banks,NYSE
DXC,DXC Technology Company,Technology,EDP Services,NYSE
DXCM,"DexCom, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
DXF,Dunxin Financial Holdings Limited,Finance,Finance: Consumer Services,AMEX
DXLG,"Destination XL Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,NASDAQ
DXPE,"DXP Enterprises, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ
DXR,Daxor Corporation,Health Care,Medical/Dental Instruments,AMEX
DXYN,"The Dixie Group, Inc.",Consumer Durables,Home Furnishings,NASDAQ
DY,"Dycom Industries, Inc.",Basic Industries,Water Supply,NYSE
DYAI,"Dyadic International, Inc.",Basic Industries,Major Chemicals,NASDAQ
DYNC,Vistra Energy Corp.,Public Utilities,Electric Utilities: Central,NYSE
DYNT,Dynatronics Corporation,Health Care,Medical/Dental Instruments,NASDAQ
DYSL,Dynasil Corporation of America,Capital Goods,Industrial Machinery/Components,NASDAQ
DZSI,"DASAN Zhone Solutions, Inc.",Public Utilities,Telecommunications Equipment,NASDAQ
E,ENI S.p.A.,Energy,Oil & Gas Production,NYSE
EA,Electronic Arts Inc.,Technology,Computer Software: Prepackaged Software,NASDAQ
EAB,"Entergy Arkansas, LLC",Public Utilities,Electric Utilities: Central,NYSE
EAE,"Entergy Arkansas, LLC",Public Utilities,Electric Utilities: Central,NYSE
EAF,GrafTech International Ltd.,Energy,Industrial Machinery/Components,NYSE
EAI,"Entergy Arkansas, LLC",Public Utilities,Electric Utilities: Central,NYSE
EARN,Ellington Residential Mortgage REIT,Consumer Services,Real Estate Investment Trusts,NYSE
EARS,Auris Medical Holding Ltd.,Health Care,Major Pharmaceuticals,NASDAQ
EAST,"Eastside Distilling, Inc.",Consumer Non-Durables,Beverages (Production/Distribution),NASDAQ
EAT,"Brinker International, Inc.",Consumer Services,Restaurants,NYSE
EB,"Eventbrite, Inc.",Technology,"Computer Software: Programming, Data Processing",NYSE
EBAY,eBay Inc.,Miscellaneous,Business Services,NASDAQ
EBAYL,eBay Inc.,Miscellaneous,Business Services,NASDAQ
EBF,"Ennis, Inc.",Consumer Services,Office Equipment/Supplies/Services,NYSE
EBIX,"Ebix, Inc.",Technology,EDP Services,NASDAQ
EBMT,"Eagle Bancorp Montana, Inc.",Finance,Major Banks,NASDAQ
EBR,Centrais Electricas Brasileiras S.A.- Eletrobras,Public Utilities,Electric Utilities: Central,NYSE
EBS,"Emergent Biosolutions, Inc.",Health Care,Major Pharmaceuticals,NYSE
EBSB,"Meridian Bancorp, Inc.",Finance,Major Banks,NASDAQ
EBTC,Enterprise Bancorp Inc,Finance,Major Banks,NASDAQ
EC,Ecopetrol S.A.,Energy,Oil & Gas Production,NYSE
ECA,Encana Corporation,Energy,Oil & Gas Production,NYSE
ECHO,"Echo Global Logistics, Inc.",Transportation,Oil Refining/Marketing,NASDAQ
ECL,Ecolab Inc.,Basic Industries,Package Goods/Cosmetics,NYSE
ECOL,"US Ecology, Inc.",Public Utilities,Environmental Services,NASDAQ
ECOM          ,ChannelAdvisor Corporation,Technology,Computer Software: Prepackaged Software,NYSE
ECOR,"electroCore, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
ECPG,Encore Capital Group Inc,Finance,Finance Companies,NASDAQ
ECT,ECA Marcellus Trust I,Energy,Oil & Gas Production,NYSE
ED,Consolidated Edison Inc,Public Utilities,Power Generation,NYSE
EDAP,EDAP TMS S.A.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
EDIT,"Editas Medicine, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
